Time,PID,Tickets,Pass,Stride,Runtime
3598,20,8,11701923,128,78
3769,1,8,7871,128,1
3769,2,8,11691560,128,0
3769,5,1,11707199,1024,15
3769,4,8,11691939,128,3
3769,6,2,11706688,512,29
3769,7,4,11706689,256,58
3769,8,8,11706563,128,115
3769,9,16,11706500,64,229
3769,10,32,11706469,32,457
3769,11,32,11706470,32,457
3769,12,32,11706439,32,456
3769,13,32,11706440,32,456
3769,14,32,11706441,32,456
3769,15,32,11703779,32,370
3769,16,32,11703779,32,370
3769,17,8,11703843,128,93
3769,18,2,11704227,512,24
3769,19,8,11703843,128,93
3769,20,8,11703843,128,93
3940,1,8,7871,128,1
3940,2,8,11691560,128,0
3940,5,1,11707199,1024,15
3940,4,8,11691939,128,3
3940,6,2,11706688,512,29
3940,7,4,11706689,256,58
3940,8,8,11706563,128,115
3940,9,16,11706500,64,229
3940,10,32,11706469,32,457
3940,11,32,11706470,32,457
3940,12,32,11706439,32,456
3940,13,32,11706440,32,456
3940,14,32,11706441,32,456
3940,15,32,11705763,32,432
3940,16,32,11705731,32,431
3940,17,8,11705763,128,108
3940,18,2,11705763,512,27
3940,19,8,11705763,128,108
3940,20,8,11705763,128,108
4111,1,8,7871,128,1
4111,2,8,11691560,128,0
4111,5,1,11707199,1024,15
4111,4,8,11691939,128,3
4111,6,2,11707200,512,30
4111,7,4,11706945,256,59
4111,8,8,11706947,128,118
4111,9,16,11706884,64,235
4111,10,32,11706853,32,469
4111,11,32,11706854,32,469
4111,12,32,11706855,32,469
4111,13,32,11706824,32,468
4111,14,32,11706825,32,468
4111,15,32,11706851,32,466
4111,16,32,11706851,32,466
4111,17,8,11706915,128,117
4111,18,2,11707299,512,30
4111,19,8,11706915,128,117
4111,20,8,11706915,128,117
4282,1,8,7871,128,1
4282,2,8,11691560,128,0
4282,5,1,11708223,1024,16
4282,4,8,11691939,128,3
4282,6,2,11707712,512,31
4282,7,4,11707713,256,62
4282,8,8,11707587,128,123
4282,9,16,11707460,64,244
4282,10,32,11707461,32,488
4282,11,32,11707462,32,488
4282,12,32,11707463,32,488
4282,13,32,11707464,32,488
4282,14,32,11707465,32,488
4282,15,32,11707491,32,486
4282,16,32,11707459,32,485
4282,17,8,11707555,128,122
4282,18,2,11707811,512,31
4282,19,8,11707555,128,122
4282,20,8,11707555,128,122
4453,1,8,7871,128,1
4453,2,8,11691560,128,0
4453,5,1,11708223,1024,16
4453,4,8,11691939,128,3
4453,6,2,11708224,512,32
4453,7,4,11708225,256,64
4453,8,8,11708099,128,127
4453,9,16,11708100,64,254
4453,10,32,11708101,32,508
4453,11,32,11708102,32,508
4453,12,32,11708103,32,508
4453,13,32,11708104,32,508
4453,14,32,11708073,32,507
4453,15,32,11708099,32,505
4453,16,32,11708099,32,505
4453,17,8,11708195,128,127
4453,18,2,11708323,512,32
4453,19,8,11708195,128,127
4453,20,8,11708195,128,127
4624,1,8,7871,128,1
4624,2,8,11691560,128,0
4624,5,1,11709247,1024,17
4624,4,8,11691939,128,3
4624,6,2,11708736,512,33
4624,7,4,11708737,256,66
4624,8,8,11708739,128,132
4624,9,16,11708740,64,264
4624,10,32,11708709,32,527
4624,11,32,11708710,32,527
4624,12,32,11708711,32,527
4624,13,32,11708712,32,527
4624,14,32,11708713,32,527
4624,15,32,11708739,32,525
4624,16,32,11708739,32,525
4624,17,8,11708835,128,132
4624,18,2,11708835,512,33
4624,19,8,11708835,128,132
4624,20,8,11708835,128,132
4795,1,8,7871,128,1
4795,2,8,11691560,128,0
4795,5,1,11710271,1024,18
4795,4,8,11691939,128,3
4795,6,2,11709760,512,35
4795,7,4,11709505,256,69
4795,8,8,11709379,128,137
4795,9,16,11709380,64,274
4795,10,32,11709349,32,547
4795,11,32,11709350,32,547
4795,12,32,11709351,32,547
4795,13,32,11709352,32,547
4795,14,32,11709321,32,546
4795,15,32,11709347,32,544
4795,16,32,11709347,32,544
4795,17,8,11709347,128,136
4795,18,2,11709347,512,34
4795,19,8,11709347,128,136
4795,20,8,11709347,128,136
4966,1,8,7871,128,1
4966,2,8,11691560,128,0
4966,5,1,11710271,1024,18
4966,4,8,11691939,128,3
4966,6,2,11710272,512,36
4966,7,4,11710017,256,71
4966,8,8,11710019,128,142
4966,9,16,11710020,64,284
4966,10,32,11709957,32,566
4966,11,32,11709958,32,566
4966,12,32,11709959,32,566
4966,13,32,11709960,32,566
4966,14,32,11709961,32,566
4966,15,32,11709987,32,564
4966,16,32,11709987,32,564
4966,17,8,11709987,128,141
4966,18,2,11710371,512,36
4966,19,8,11709987,128,141
4966,20,8,11709987,128,141
5137,1,8,7871,128,1
5137,2,8,11691560,128,0
5137,5,1,11711295,1024,19
5137,4,8,11691939,128,3
5137,6,2,11710784,512,37
5137,7,4,11710785,256,74
5137,8,8,11710659,128,147
5137,9,16,11710596,64,293
5137,10,32,11710597,32,586
5137,11,32,11710598,32,586
5137,12,32,11710599,32,586
5137,13,32,11710568,32,585
5137,14,32,11710569,32,585
5137,15,32,11710595,32,583
5137,16,32,11710595,32,583
5137,17,8,11710627,128,146
5137,18,2,11710883,512,37
5137,19,8,11710627,128,146
5137,20,8,11710627,128,146
5308,1,8,7871,128,1
5308,2,8,11691560,128,0
5308,5,1,11711295,1024,19
5308,4,8,11691939,128,3
5308,6,2,11711296,512,38
5308,7,4,11711297,256,76
5308,8,8,11711299,128,152
5308,9,16,11711236,64,303
5308,10,32,11711205,32,605
5308,11,32,11711206,32,605
5308,12,32,11711207,32,605
5308,13,32,11711208,32,605
5308,14,32,11711209,32,605
5308,15,32,11711235,32,603
5308,16,32,11711235,32,603
5308,17,8,11711267,128,151
5308,18,2,11711395,512,38
5308,19,8,11711267,128,151
5308,20,8,11711267,128,151
5472,1,8,7871,128,1
5472,2,8,11691560,128,0
5472,5,1,11712319,1024,20
5472,4,8,11691939,128,3
5472,6,2,11711808,512,39
5472,7,4,11711809,256,78
5472,8,8,11711811,128,156
5472,9,16,11711812,64,312
5472,10,32,11711813,32,624
5472,11,32,11711814,32,624
5472,12,32,11711815,32,624
5472,13,32,11711816,32,624
5472,14,32,11711817,32,624
5472,15,32,11711811,32,621
5472,16,32,11711811,32,621
5472,17,8,11711907,128,156
5472,18,2,11711907,512,39
5472,19,8,11711907,128,156
5472,20,8,11711907,128,156
5643,1,8,7871,128,1
5643,2,8,11691560,128,0
5643,5,1,11713343,1024,21
5643,4,8,11691939,128,3
5643,6,2,11712832,512,41
5643,7,4,11712577,256,81
5643,8,8,11712451,128,161
5643,9,16,11712452,64,322
5643,10,32,11712421,32,643
5643,11,32,11712422,32,643
5643,12,32,11712423,32,643
5643,13,32,11712424,32,643
5643,14,32,11712425,32,643
5643,15,32,11712419,32,640
5643,16,32,11712419,32,640
5643,17,8,11712547,128,161
5643,18,2,11712931,512,41
5643,19,8,11712547,128,161
5643,20,8,11712547,128,161
5814,1,8,7871,128,1
5814,2,8,11691560,128,0
5814,5,1,11713343,1024,21
5814,4,8,11691939,128,3
5814,6,2,11713344,512,42
5814,7,4,11713089,256,83
5814,8,8,11713091,128,166
5814,9,16,11713092,64,332
5814,10,32,11713061,32,663
5814,11,32,11713062,32,663
5814,12,32,11713063,32,663
5814,13,32,11713064,32,663
5814,14,32,11713065,32,663
5814,15,32,11713059,32,660
5814,16,32,11713059,32,660
5814,17,8,11713059,128,165
5814,18,2,11713443,512,42
5814,19,8,11713059,128,165
5814,20,8,11713059,128,165
5985,1,8,7871,128,1
5985,2,8,11691560,128,0
5985,5,1,11714367,1024,22
5985,4,8,11691939,128,3
5985,6,2,11713856,512,43
5985,7,4,11713857,256,86
5985,8,8,11713731,128,171
5985,9,16,11713732,64,342
5985,10,32,11713669,32,682
5985,11,32,11713670,32,682
5985,12,32,11713671,32,682
5985,13,32,11713672,32,682
5985,14,32,11713673,32,682
5985,15,32,11713699,32,680
5985,16,32,11713699,32,680
5985,17,8,11713699,128,170
5985,18,2,11713955,512,43
5985,19,8,11713699,128,170
5985,20,8,11713699,128,170
