Time,PID,Tickets,Pass,Stride,Runtime
7780,10,16,0,64,778
7780,11,32,0,32,778
7780,12,32,0,32,778
7780,13,32,0,32,778
7780,14,32,0,32,778
7780,15,32,0,32,778
8610,1,8,0,128,1
8610,2,8,0,128,1
8610,6,1,0,1024,861
8610,5,8,0,128,1
8610,7,2,0,512,861
8610,8,4,0,256,861
8610,9,8,0,128,861
8610,10,16,0,64,861
8610,11,32,0,32,861
8610,12,32,0,32,861
8610,13,32,0,32,861
8610,14,32,0,32,861
8610,15,32,0,32,861
9490,1,8,0,128,1
9490,2,8,0,128,1
9490,6,1,0,1024,949
9490,5,8,0,128,1
9490,7,2,0,512,949
9490,8,4,0,256,949
9490,9,8,0,128,949
9490,10,16,0,64,949
9490,11,32,0,32,949
9490,12,32,0,32,949
9490,13,32,0,32,949
9490,14,32,0,32,949
9490,15,32,0,32,949
10320,1,8,0,128,1
10320,2,8,0,128,1
10320,6,1,0,1024,1032
10320,5,8,0,128,1
10320,7,2,0,512,1032
10320,8,4,0,256,1032
10320,9,8,0,128,1032
10320,10,16,0,64,1032
10320,11,32,0,32,1032
10320,12,32,0,32,1032
10320,13,32,0,32,1032
10320,14,32,0,32,1032
10320,15,32,0,32,1032
11200,1,8,0,128,1
11200,2,8,0,128,1
11200,6,1,0,1024,1120
11200,5,8,0,128,1
11200,7,2,0,512,1120
11200,8,4,0,256,1120
11200,9,8,0,128,1120
11200,10,16,0,64,1120
11200,11,32,0,32,1120
11200,12,32,0,32,1120
11200,13,32,0,32,1120
11200,14,32,0,32,1120
11200,15,32,0,32,1120
12030,1,8,0,128,1
12030,2,8,0,128,1
12030,6,1,0,1024,1203
12030,5,8,0,128,1
12030,7,2,0,512,1203
12030,8,4,0,256,1203
12030,9,8,0,128,1203
12030,10,16,0,64,1203
12030,11,32,0,32,1203
12030,12,32,0,32,1203
12030,13,32,0,32,1203
12030,14,32,0,32,1203
12030,15,32,0,32,1203
12910,1,8,0,128,1
12910,2,8,0,128,1
12910,6,1,0,1024,1291
12910,5,8,0,128,1
12910,7,2,0,512,1291
12910,8,4,0,256,1291
12910,9,8,0,128,1291
12910,10,16,0,64,1291
12910,11,32,0,32,1291
12910,12,32,0,32,1291
12910,13,32,0,32,1291
12910,14,32,0,32,1291
12910,15,32,0,32,1291
13740,1,8,0,128,1
13740,2,8,0,128,1
13740,6,1,0,1024,1374
13740,5,8,0,128,1
13740,7,2,0,512,1374
13740,8,4,0,256,1374
13740,9,8,0,128,1374
13740,10,16,0,64,1374
13740,11,32,0,32,1374
13740,12,32,0,32,1374
13740,13,32,0,32,1374
13740,14,32,0,32,1374
13740,15,32,0,32,1374
14620,1,8,0,128,1
14620,2,8,0,128,1
14620,6,1,0,1024,1462
14620,5,8,0,128,1
14620,7,2,0,512,1462
14620,8,4,0,256,1462
14620,9,8,0,128,1462
14620,10,16,0,64,1462
14620,11,32,0,32,1462
14620,12,32,0,32,1462
14620,13,32,0,32,1462
14620,14,32,0,32,1462
14620,15,32,0,32,1462
15450,1,8,0,128,1
15450,2,8,0,128,1
15450,6,1,0,1024,1545
15450,5,8,0,128,1
15450,7,2,0,512,1545
15450,8,4,0,256,1545
15450,9,8,0,128,1545
15450,10,16,0,64,1545
15450,11,32,0,32,1545
15450,12,32,0,32,1545
15450,13,32,0,32,1545
15450,14,32,0,32,1545
15450,15,32,0,32,1545
16330,1,8,0,128,1
16330,2,8,0,128,1
16330,6,1,0,1024,1633
16330,5,8,0,128,1
16330,7,2,0,512,1633
16330,8,4,0,256,1633
16330,9,8,0,128,1633
16330,10,16,0,64,1633
16330,11,32,0,32,1633
16330,12,32,0,32,1633
16330,13,32,0,32,1633
16330,14,32,0,32,1633
16330,15,32,0,32,1633
17210,1,8,0,128,1
17210,2,8,0,128,1
17210,6,1,0,1024,1721
17210,5,8,0,128,1
17210,7,2,0,512,1721
17210,8,4,0,256,1721
17210,9,8,0,128,1721
17210,10,16,0,64,1721
17210,11,32,0,32,1721
17210,12,32,0,32,1721
17210,13,32,0,32,1721
17210,14,32,0,32,1721
17210,15,32,0,32,1721
17210,16,8,0,128,0
17210,17,8,0,128,0
17210,18,8,0,128,0
17210,19,8,0,128,0
17210,20,8,0,128,0
17210,21,8,0,128,0
19115,1,8,0,128,1
19115,2,8,0,128,1
19115,6,1,0,1024,1840
19115,5,8,0,128,2
19115,7,2,0,512,1840
19115,8,4,0,256,1840
19115,9,8,0,128,1840
19115,10,16,0,64,1840
19115,11,32,0,32,1840
19115,12,32,0,32,1840
19115,13,32,0,32,1840
19115,14,32,0,32,1840
19115,15,32,0,32,1840
19115,16,32,0,32,119
19115,17,32,0,32,119
19115,18,8,0,128,119
19115,19,2,0,512,119
19115,20,8,0,128,119
19115,21,8,0,128,119
21083,1,8,0,128,1
21083,2,8,0,128,1
21083,6,1,0,1024,1963
21083,5,8,0,128,2
21083,7,2,0,512,1963
21083,8,4,0,256,1963
21083,9,8,0,128,1963
21083,10,16,0,64,1963
21083,11,32,0,32,1963
21083,12,32,0,32,1963
21083,13,32,0,32,1963
21083,14,32,0,32,1963
21083,15,32,0,32,1963
21083,16,32,0,32,242
21083,17,32,0,32,242
21083,18,8,0,128,242
21083,19,2,0,512,242
21083,20,8,0,128,242
21083,21,8,0,128,242
23067,1,8,0,128,1
23067,2,8,0,128,1
23067,6,1,0,1024,2087
23067,5,8,0,128,2
23067,7,2,0,512,2087
23067,8,4,0,256,2087
23067,9,8,0,128,2087
23067,10,16,0,64,2087
23067,11,32,0,32,2087
23067,12,32,0,32,2087
23067,13,32,0,32,2087
23067,14,32,0,32,2087
23067,15,32,0,32,2087
23067,16,32,0,32,366
23067,17,32,0,32,366
23067,18,8,0,128,366
23067,19,2,0,512,366
23067,20,8,0,128,366
23067,21,8,0,128,366
25083,1,8,0,128,1
25083,2,8,0,128,1
25083,6,1,0,1024,2213
25083,5,8,0,128,2
25083,7,2,0,512,2213
25083,8,4,0,256,2213
25083,9,8,0,128,2213
25083,10,16,0,64,2213
25083,11,32,0,32,2213
25083,12,32,0,32,2213
25083,13,32,0,32,2213
25083,14,32,0,32,2213
25083,15,32,0,32,2213
25083,16,32,0,32,492
25083,17,32,0,32,492
25083,18,8,0,128,492
25083,19,2,0,512,492
25083,20,8,0,128,492
25083,21,8,0,128,492
26971,1,8,0,128,1
26971,2,8,0,128,1
26971,6,1,0,1024,2331
26971,5,8,0,128,2
26971,7,2,0,512,2331
26971,8,4,0,256,2331
26971,9,8,0,128,2331
26971,10,16,0,64,2331
26971,11,32,0,32,2331
26971,12,32,0,32,2331
26971,13,32,0,32,2331
26971,14,32,0,32,2331
26971,15,32,0,32,2331
26971,16,32,0,32,610
26971,17,32,0,32,610
26971,18,8,0,128,610
26971,19,2,0,512,610
26971,20,8,0,128,610
26971,21,8,0,128,610
28971,1,8,0,128,1
28971,2,8,0,128,1
28971,6,1,0,1024,2456
28971,5,8,0,128,2
28971,7,2,0,512,2456
28971,8,4,0,256,2456
28971,9,8,0,128,2456
28971,10,16,0,64,2456
28971,11,32,0,32,2456
28971,12,32,0,32,2456
28971,13,32,0,32,2456
28971,14,32,0,32,2456
28971,15,32,0,32,2456
28971,16,32,0,32,735
28971,17,32,0,32,735
28971,18,8,0,128,735
28971,19,2,0,512,735
28971,20,8,0,128,735
28971,21,8,0,128,735
30971,1,8,0,128,1
30971,2,8,0,128,1
30971,6,1,0,1024,2581
30971,5,8,0,128,2
30971,7,2,0,512,2581
30971,8,4,0,256,2581
30971,9,8,0,128,2581
30971,10,16,0,64,2581
30971,11,32,0,32,2581
30971,12,32,0,32,2581
30971,13,32,0,32,2581
30971,14,32,0,32,2581
30971,15,32,0,32,2581
30971,16,32,0,32,860
30971,17,32,0,32,860
30971,18,8,0,128,860
30971,19,2,0,512,860
30971,20,8,0,128,860
30971,21,8,0,128,860
32971,1,8,0,128,1
32971,2,8,0,128,1
32971,6,1,0,1024,2706
32971,5,8,0,128,2
32971,7,2,0,512,2706
32971,8,4,0,256,2706
32971,9,8,0,128,2706
32971,10,16,0,64,2706
32971,11,32,0,32,2706
32971,12,32,0,32,2706
32971,13,32,0,32,2706
32971,14,32,0,32,2706
32971,15,32,0,32,2706
32971,16,32,0,32,985
32971,17,32,0,32,985
32971,18,8,0,128,985
32971,19,2,0,512,985
32971,20,8,0,128,985
32971,21,8,0,128,985
34859,1,8,0,128,1
34859,2,8,0,128,1
34859,6,1,0,1024,2824
34859,5,8,0,128,2
34859,7,2,0,512,2824
34859,8,4,0,256,2824
34859,9,8,0,128,2824
34859,10,16,0,64,2824
34859,11,32,0,32,2824
34859,12,32,0,32,2824
34859,13,32,0,32,2824
34859,14,32,0,32,2824
34859,15,32,0,32,2824
34859,16,32,0,32,1103
34859,17,32,0,32,1103
34859,18,8,0,128,1103
34859,19,2,0,512,1103
34859,20,8,0,128,1103
34859,21,8,0,128,1103
36859,1,8,0,128,1
36859,2,8,0,128,1
36859,6,1,0,1024,2949
36859,5,8,0,128,2
36859,7,2,0,512,2949
36859,8,4,0,256,2949
36859,9,8,0,128,2949
36859,10,16,0,64,2949
36859,11,32,0,32,2949
36859,12,32,0,32,2949
36859,13,32,0,32,2949
36859,14,32,0,32,2949
36859,15,32,0,32,2949
36859,16,32,0,32,1228
36859,17,32,0,32,1228
36859,18,8,0,128,1228
36859,19,2,0,512,1228
36859,20,8,0,128,1228
36859,21,8,0,128,1228
38859,1,8,0,128,1
38859,2,8,0,128,1
38859,6,1,0,1024,3074
38859,5,8,0,128,2
38859,7,2,0,512,3074
38859,8,4,0,256,3074
38859,9,8,0,128,3074
38859,10,16,0,64,3074
38859,11,32,0,32,3074
38859,12,32,0,32,3074
38859,13,32,0,32,3074
38859,14,32,0,32,3074
38859,15,32,0,32,3074
38859,16,32,0,32,1353
38859,17,32,0,32,1353
38859,18,8,0,128,1353
38859,19,2,0,512,1353
38859,20,8,0,128,1353
38859,21,8,0,128,1353
40859,1,8,0,128,1
40859,2,8,0,128,1
40859,6,1,0,1024,3199
40859,5,8,0,128,2
40859,7,2,0,512,3199
40859,8,4,0,256,3199
40859,9,8,0,128,3199
40859,10,16,0,64,3199
40859,11,32,0,32,3199
40859,12,32,0,32,3199
40859,13,32,0,32,3199
40859,14,32,0,32,3199
40859,15,32,0,32,3199
40859,16,32,0,32,1478
40859,17,32,0,32,1478
40859,18,8,0,128,1478
40859,19,2,0,512,1478
40859,20,8,0,128,1478
40859,21,8,0,128,1478
42859,1,8,0,128,1
42859,2,8,0,128,1
42859,6,1,0,1024,3324
42859,5,8,0,128,2
42859,7,2,0,512,3324
42859,8,4,0,256,3324
42859,9,8,0,128,3324
42859,10,16,0,64,3324
42859,11,32,0,32,3324
42859,12,32,0,32,3324
42859,13,32,0,32,3324
42859,14,32,0,32,3324
42859,15,32,0,32,3324
42859,16,32,0,32,1603
42859,17,32,0,32,1603
42859,18,8,0,128,1603
42859,19,2,0,512,1603
42859,20,8,0,128,1603
42859,21,8,0,128,1603
44747,1,8,0,128,1
44747,2,8,0,128,1
44747,6,1,0,1024,3442
44747,5,8,0,128,2
44747,7,2,0,512,3442
44747,8,4,0,256,3442
44747,9,8,0,128,3442
44747,10,16,0,64,3442
44747,11,32,0,32,3442
44747,12,32,0,32,3442
44747,13,32,0,32,3442
44747,14,32,0,32,3442
44747,15,32,0,32,3442
44747,16,32,0,32,1721
44747,17,32,0,32,1721
44747,18,8,0,128,1721
44747,19,2,0,512,1721
44747,20,8,0,128,1721
44747,21,8,0,128,1721
46747,1,8,0,128,1
46747,2,8,0,128,1
46747,6,1,0,1024,3567
46747,5,8,0,128,2
46747,7,2,0,512,3567
46747,8,4,0,256,3567
46747,9,8,0,128,3567
46747,10,16,0,64,3567
46747,11,32,0,32,3567
46747,12,32,0,32,3567
46747,13,32,0,32,3567
46747,14,32,0,32,3567
46747,15,32,0,32,3567
46747,16,32,0,32,1846
46747,17,32,0,32,1846
46747,18,8,0,128,1846
46747,19,2,0,512,1846
46747,20,8,0,128,1846
46747,21,8,0,128,1846
48747,1,8,0,128,1
48747,2,8,0,128,1
48747,6,1,0,1024,3692
48747,5,8,0,128,2
48747,7,2,0,512,3692
48747,8,4,0,256,3692
48747,9,8,0,128,3692
48747,10,16,0,64,3692
48747,11,32,0,32,3692
48747,12,32,0,32,3692
48747,13,32,0,32,3692
48747,14,32,0,32,3692
48747,15,32,0,32,3692
48747,16,32,0,32,1971
48747,17,32,0,32,1971
48747,18,8,0,128,1971
48747,19,2,0,512,1971
48747,20,8,0,128,1971
48747,21,8,0,128,1971
50747,1,8,0,128,1
50747,2,8,0,128,1
50747,6,1,0,1024,3817
50747,5,8,0,128,2
50747,7,2,0,512,3817
50747,8,4,0,256,3817
50747,9,8,0,128,3817
50747,10,16,0,64,3817
50747,11,32,0,32,3817
50747,12,32,0,32,3817
50747,13,32,0,32,3817
50747,14,32,0,32,3817
50747,15,32,0,32,3817
50747,16,32,0,32,2096
50747,17,32,0,32,2096
50747,18,8,0,128,2096
50747,19,2,0,512,2096
50747,20,8,0,128,2096
50747,21,8,0,128,2096
52747,1,8,0,128,1
52747,2,8,0,128,1
52747,6,1,0,1024,3942
52747,5,8,0,128,2
52747,7,2,0,512,3942
52747,8,4,0,256,3942
52747,9,8,0,128,3942
52747,10,16,0,64,3942
52747,11,32,0,32,3942
52747,12,32,0,32,3942
52747,13,32,0,32,3942
52747,14,32,0,32,3942
52747,15,32,0,32,3942
52747,16,32,0,32,2221
52747,17,32,0,32,2221
52747,18,8,0,128,2221
52747,19,2,0,512,2221
52747,20,8,0,128,2221
52747,21,8,0,128,2221
54635,1,8,0,128,1
54635,2,8,0,128,1
54635,6,1,0,1024,4060
54635,5,8,0,128,2
54635,7,2,0,512,4060
54635,8,4,0,256,4060
54635,9,8,0,128,4060
54635,10,16,0,64,4060
54635,11,32,0,32,4060
54635,12,32,0,32,4060
54635,13,32,0,32,4060
54635,14,32,0,32,4060
54635,15,32,0,32,4060
54635,16,32,0,32,2339
54635,17,32,0,32,2339
54635,18,8,0,128,2339
54635,19,2,0,512,2339
54635,20,8,0,128,2339
54635,21,8,0,128,2339
